date,delta,maxTrialTime,receivedResponse,rsp,rt,selected,stimulus1,stimulus1Bid,stimulus1Loaded,stimulus2,stimulus2Bid,stimulus2Loaded,subjectID,trialDuration,trialEndTime,trialN,trialStartTime
2018-01-19 01:17:49,0.77,4000,True,u,334.935,Chocolate_mm,Chocolate_mm,1.87,True,FlamingCheetos,2.64,True,MDMMT_0010,334.935,674.73,0,339.795
2018-01-19 01:17:49,0.61,4000,True,i,116.945,Dots_one,Milkduds,5.79,True,Dots_one,6.4,True,MDMMT_0010,116.945,1303.57,1,1186.625
2018-01-19 01:17:49,0.35,4000,True,i,63.965,WheatThins,Ghiradelli_milk,0.04,True,WheatThins,0.39,True,MDMMT_0010,63.965,1876.65,2,1812.685
2018-01-19 01:17:49,0.28,4000,True,u,300.395,100grand_small,100grand_small,0.68,True,Laffytaffyred_one,0.96,True,MDMMT_0010,300.395,2681.635,3,2381.24
2018-01-19 01:17:49,-2.36,4000,True,u,196.485,PayDay,PayDay,8.76,True,Dots_one,6.4,True,MDMMT_0010,196.485,3383.615,4,3187.13
2018-01-19 01:17:49,0.27,4000,True,u,11.005,FigNewton_small,FigNewton_small,4.4,False,Sourpatch,4.67,False,MDMMT_0010,11.005,3903.405,5,3892.4
2018-01-19 01:17:49,-1.37,4000,True,u,53.61,Butterfinger,Butterfinger,1.37,True,RitzBitz2,0.0,True,MDMMT_0010,53.61,4464.39,6,4410.78
2018-01-19 01:17:49,1.4,4000,True,u,21.975,PringlesRed,PringlesRed,4.14,False,ChipsAhoy_small,5.54,True,MDMMT_0010,21.975,4994.305,7,4972.33
2018-01-19 01:17:49,0.15,4000,True,u,434.84,AnimalCrackers,AnimalCrackers,9.85,True,CheesyDoritos,10.0,True,MDMMT_0010,434.84,5939.895,8,5505.055
2018-01-19 01:17:49,-0.44,4000,True,u,122.515,SourSkittles,SourSkittles,6.92,True,Hersheykisses,6.48,True,MDMMT_0010,122.515,6568.415,9,6445.9
2018-01-19 01:17:49,-5.63,4000,True,u,132.38,FamousAmos_small,FamousAmos_small,8.28,True,starburst,2.65,True,MDMMT_0010,132.38,7209.445,10,7077.065
2018-01-19 01:17:49,1.94,4000,True,i,148.08,Lollipopred,Crunch,5.71,True,Lollipopred,7.65,True,MDMMT_0010,148.08,7861.44,11,7713.36
2018-01-19 01:17:49,0.05,4000,True,u,42.46,Twix,Twix,2.65,True,PeanutMMs,2.7,True,MDMMT_0010,42.46,8408.22,12,8365.76
2018-01-19 01:17:49,0.39,4000,True,i,274.93,Reeses,Ruffles,2.0,True,Reeses,2.39,True,MDMMT_0010,274.93,9187.345,13,8912.415
2018-01-19 01:17:49,0.11,4000,True,u,155.71,Funyuns_small,Funyuns_small,2.98,True,Whatchamacallit,3.09,True,MDMMT_0010,155.71,9851.32,14,9695.61
2018-01-19 01:17:49,0.53,4000,True,u,206.79,Hersheymilk_several,Hersheymilk_several,4.89,True,Ghiradelli_milk_Almonds,5.42,True,MDMMT_0010,206.79,10564.095,15,10357.305
2018-01-19 01:17:49,1.13,4000,True,i,25.705,Ruffles,MrsFields,0.87,True,Ruffles,2.0,True,MDMMT_0010,25.705,11095.095,16,11069.39
