assignmentId,completedAuction,completedChoiceTask,hitId,subjectId,timeCreated,turkSubmitTo,workerId
xxxxx30963,True,True,hhhhh79463,MDMMT_0001,2018-01-05 11:13:50,www.mturk.com,abc9047
xxxxx35594,True,True,hhhhh58665,MDMMT_0002,2018-01-05 11:21:42,www.mturk.com,abc2687
xxxxx57053,False,False,hhhhh74570,MDMMT_0003,2018-01-16 15:32:45,www.mturk.com,abc1759
xxxxx90686,False,False,hhhhh64265,MDMMT_0004,2018-01-16 15:34:24,www.mturk.com,abc9441
xxxxx69343,False,False,hhhhh77935,MDMMT_0005,2018-01-16 15:45:21,www.calkins.psych.columbia.edu,abc7802
xxxxx65888,False,False,hhhhh34622,MDMMT_0006,2018-01-19 00:29:14,www.calkins.psych.columbia.edu,abc8603
xxxxx60234,False,False,hhhhh11942,MDMMT_0007,2018-01-19 00:29:30,www.calkins.psych.columbia.edu,abc2052
xxxxx41159,False,False,hhhhh47168,MDMMT_0008,2018-01-19 00:38:47,www.calkins.psych.columbia.edu,abc7712
xxxxx60417,True,True,hhhhh85184,MDMMT_0009,2018-01-19 00:39:10,www.calkins.psych.columbia.edu,abc9967
xxxxx27434,True,True,hhhhh68203,MDMMT_0010,2018-01-19 00:55:47,www.calkins.psych.columbia.edu,abc3952
xxxxx95983,False,False,hhhhh86433,MDMMT_0011,2018-01-19 01:24:46,www.calkins.psych.columbia.edu,abc1239
xxxxx36226,True,False,hhhhh95234,MDMMT_0012,2018-01-19 01:25:41,www.calkins.psych.columbia.edu,abc9202
xxxxx73660,True,True,hhhhh74268,MDMMT_0013,2018-01-19 09:42:15,www.calkins.psych.columbia.edu,abc9295
xxxxx87166,True,False,hhhhh69348,MDMMT_0014,2018-01-19 10:34:38,www.calkins.psych.columbia.edu,abc4640
xxxxx90374,True,True,hhhhh69446,MDMMT_0015,2018-01-19 10:39:49,www.calkins.psych.columbia.edu,abc7732
xxxxx46156,True,True,hhhhh15207,MDMMT_0016,2018-01-19 10:59:00,www.calkins.psych.columbia.edu,abc7325
xxxxx93729,False,False,hhhhh50270,MDMMT_0017,2018-01-19 13:44:12,www.calkins.psych.columbia.edu,abc5693
xxxxx29080,True,True,hhhhh22433,MDMMT_0018,2018-01-19 13:50:29,www.calkins.psych.columbia.edu,abc6567
xxxxx16011,True,True,hhhhh50755,MDMMT_0019,2018-01-19 14:04:44,www.calkins.psych.columbia.edu,abc4781
