trialDuration,trialEndTime,maxTrialTime,receivedResponse,trialStartTime,rt,rating,trialN,stimulus1,stimulus1Loaded
748.605,1183.615,None,True,435.01,748.605,1.41,0,RiceKrispyTreat_small,True
691.535,1878.2,None,True,1186.665,691.535,1.58,1,Fritos,True
437.885,2318.36,None,True,1880.475,437.885,1.34,2,3Musketeers,True
514.66,2835.265,None,True,2320.605,514.66,1.27,3,BabyRuth,True
3741.725,6579.02,None,True,2837.295,3741.725,2.02,4,SourSkittles,True
385.975,6966.62,None,True,6580.645,385.975,2.28,5,Butterfinger,True
3325.54,10294.25,None,True,6968.71,3325.54,0.45,6,MilkyWay,True
430.125,10726.59,None,True,10296.465,430.125,0.66,7,Toberlorone,True
4084.805,14813.375,None,True,10728.57,4084.805,1.04,8,Nutterbutter,True
462.16,15277.67,None,True,14815.51,462.16,1.19,9,RitzBitz2,True
353.23,15633.08,None,True,15279.85,353.23,1.48,10,KitKat_small,True
409.45,16044.66,None,True,15635.21,409.45,1.93,11,Reeses,True
329.105,16375.875,None,True,16046.77,329.105,2.26,12,Hersheykisses,True
433.705,16812.315,None,True,16378.61,433.705,2.61,13,FigNewton_small,True
352.815,17167.325,None,True,16814.51,352.815,1.96,14,Jollyranchergreen,True
337.09,17506.545,None,True,17169.455,337.09,1.21,15,Riprolls,True
466.98,17975.485,None,True,17508.505,466.98,0.48,16,FlamingCheetos,True
401.225,18378.91,None,True,17977.685,401.225,0.21,17,Doritosranch,True
321.14,18702.11,None,True,18380.97,321.14,0.85,18,Slimjim,True
401.65,19105.775,None,True,18704.125,401.65,1.39,19,Skittles,True
429.99,19537.805,None,True,19107.815,429.99,1.96,20,WheatThins,True
434.13,19973.965,None,True,19539.835,434.13,2.5,21,FamousAmos_small,True
393.685,20369.73,None,True,19976.045,393.685,2.84,22,Goldfish,True
425.755,20797.8,None,True,20372.045,425.755,2.9,23,AnimalCrackers,True
361.425,21161.285,None,True,20799.86,361.425,2.34,24,Sourpatch,True
377.86,21541.19,None,True,21163.33,377.86,1.93,25,Granolabar,True
328.76,21872.015,None,True,21543.255,328.76,1.41,26,ChipsAhoy_small,True
337.13,22211.27,None,True,21874.14,337.13,1.09,27,TeddyGrahamschocolate,True
2497.7,24711.115,None,True,22213.415,2497.7,1.96,28,Milano,True
401.54,25114.835,None,True,24713.295,401.54,2.24,29,Almondjoy,True
393.775,25510.625,None,True,25116.85,393.775,2.4,30,Cheetos,True
337.135,25849.835,None,True,25512.7,337.135,2.07,31,Funyuns_small,True
377.545,26229.405,None,True,25851.86,377.545,1.65,32,Crunch,True
337.49,26569.0,None,True,26231.51,337.49,1.5,33,Milkduds,True
458.0,27029.04,None,True,26571.04,458.0,1.28,34,Whatchamacallit,True
385.515,27416.72,None,True,27031.205,385.515,0.95,35,Lollipopred,True
321.115,27739.77,None,True,27418.655,321.115,0.41,36,Ruffles,True
490.45,28232.385,None,True,27741.935,490.45,0.43,37,PeanutMMs,True
425.98,28660.535,None,True,28234.555,425.98,0.24,38,PopTartsStrawberry,True
377.79,29040.435,None,True,28662.645,377.79,0.45,39,MrsFields,True
369.155,29411.615,None,True,29042.46,369.155,0.76,40,Ghiradelli_milk,True
353.21,29766.925,None,True,29413.715,353.21,1.2,41,Chocolate_mm,True
438.245,30207.165,None,True,29768.92,438.245,1.51,42,Laysclassic,True
458.075,30667.48,None,True,30209.405,458.075,1.84,43,Twix,True
385.85,31055.5,None,True,30669.65,385.85,2.26,44,Laffytaffyred_one,True
377.115,31434.815,None,True,31057.7,377.115,2.62,45,Snickers,True
2057.575,33494.375,None,True,31436.8,2057.575,1.51,46,Ghiradelli_milk_Almonds,True
441.655,33938.55,None,True,33496.895,441.655,1.77,47,CheesyDoritos,True
385.3,34326.215,None,True,33940.915,385.3,1.41,48,Oreos,True
369.53,34698.185,None,True,34328.655,369.53,0.91,49,Dots_one,True
336.465,35037.095,None,True,34700.63,336.465,0.66,50,100grand_small,True
409.505,35448.95,None,True,35039.445,409.505,1.14,51,Cheezits,True
401.435,35852.775,None,True,35451.34,401.435,1.63,52,PringlesRed,True
353.02,36208.165,None,True,35855.145,353.02,1.97,53,PayDay,True
377.24,36587.765,None,True,36210.525,377.24,1.52,54,Keeblerfudgestripes,True
434.17,37024.28,None,True,36590.11,434.17,1.45,55,Cheese_PeanutButterCrackers,True
837.235,37863.915,None,True,37026.68,837.235,2.88,56,MrGoodbar,True
566.815,38433.2,None,True,37866.385,566.815,2.99,57,starburst,True
1048.015,39483.66,None,True,38435.645,1048.015,0.03,58,Hersheymilk_several,True
433.5,39919.605,None,True,39486.105,433.5,0.27,59,TootsieRolls,True
