trialDuration,stimulus2Loaded,trialEndTime,maxTrialTime,stimulus1Bid,receivedResponse,delta,rt,selected,rsp,trialStartTime,trialN,stimulus2Bid,stimulus1,stimulus1Loaded,stimulus2
80.46,True,513.73,4000,1.39,True,0.11,80.46,Skittles,u,433.27,0,1.5,Skittles,True,Milkduds
33.7,True,1052.645,4000,0.48,True,0.71,33.7,RitzBitz2,i,1018.945,1,1.19,FlamingCheetos,True,RitzBitz2
305.255,True,1862.61,4000,1.27,True,-0.23,305.255,BabyRuth,u,1557.355,2,1.04,BabyRuth,True,Nutterbutter
27.08,True,2397.645,4000,0.43,True,-0.02,27.08,PeanutMMs,u,2370.565,3,0.41,PeanutMMs,True,Ruffles
24.01,True,2927.555,4000,1.2,True,-0.79,24.01,Chocolate_mm,u,2903.545,4,0.41,Chocolate_mm,True,Ruffles
2533.21,True,5967.64,4000,2.02,True,-0.06,2533.21,WheatThins,i,3434.43,5,1.96,SourSkittles,True,WheatThins
4000.71,True,10476.915,4000,1.41,False,-0.75,4000.71,None,NaN,6476.205,6,0.66,Oreos,True,Toberlorone
753.77,True,11736.405,4000,1.41,True,1.21,753.77,Oreos,u,10982.635,7,2.62,Oreos,True,Snickers
209.55,True,12455.305,4000,0.24,True,0.61,209.55,Slimjim,i,12245.755,8,0.85,PopTartsStrawberry,True,Slimjim
3346.21,True,16308.175,4000,1.2,True,0.08,3346.21,Whatchamacallit,i,12961.965,9,1.28,Chocolate_mm,True,Whatchamacallit
164.45,True,16977.34,4000,0.66,True,-0.39,164.45,100grand_small,u,16812.89,10,0.27,100grand_small,True,TootsieRolls
3415.545,True,20899.8,4000,0.76,True,-0.28,3415.545,Ghiradelli_milk,u,17484.255,11,0.48,Ghiradelli_milk,True,FlamingCheetos
4115.965,True,25521.105,4000,1.45,False,-0.54,4115.965,None,NaN,21405.14,12,0.91,Cheese_PeanutButterCrackers,True,Dots_one
4280.81,True,30849.37,4000,0.27,False,-0.24,4280.81,None,NaN,26568.56,13,0.03,TootsieRolls,True,Hersheymilk_several
4256.61,True,35608.005,4000,2.5,False,-0.22,4256.61,None,NaN,31351.395,14,2.28,FamousAmos_small,True,Butterfinger
5001.885,True,41508.625,4000,1.14,False,0.2,5001.885,None,NaN,36506.74,15,1.34,Cheezits,True,3Musketeers
