,Question
0,I plan tasks carefully.
1,I do things without thinking.
2,I make-up my mind quickly.
3,I am happy-go-lucky.
4,"I don't ""pay attention""."
5,"I have ""racing"" thoughts."
6,I plan trips well ahead of time.
7,I am self controlled.
8,I concentrate easily.
9,I save regularly.
10,"I ""squirm"" at plays or lectures."
11,I am a careful thinker.
12,I plan for job security.
13,I say things without thinking.
14,I like to think about complex problems.
15,I change jobs.
16,"I act ""on impulse."""
17,I get easily bored when solving thought problems.
18,I act on the spur of the moment.
19,I am a steady thinker.
20,I change residences.
21,I buy things on impulse.
22,I can only think about one thing at a time.
23,I change hobbies.
24,I spend or charge more than I earn.
25,I often have extraneous thoughts when thinking.
26,I am more interested in the present than the future.
27,I am restless at the theater or lectures.
28,I like puzzles.
29,I am future oriented.
