Question,,,,,
I would prefer complex to simple problems.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I like to have the responsibility of handling a situation that requires a lot of thinking.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
Thinking is not my idea of fun.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I find satisfaction in deliberating hard and for long hours.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I only think as hard as I have to.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
"I prefer to think about small, daily projects to long-term ones.",Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I like tasks that require little thought once I've learned them.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
The idea of relying on thought to make my way to the top appeals to me.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I really enjoy a task that involves coming up with new solutions to problems.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
Learning new ways to think doesn't excite me very much.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I prefer my life to be filled with puzzles that I must solve.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
The notion of thinking abstractly is appealing to me.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I feel relief rather than satisfaction after completing a task that required a lot of mental effort.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
It's enough for me that something gets the job done; I don't care how or why it works.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
I usually end up deliberating about issues even when they do not affect me personally.,Extremely uncharacteristic,Somewhat uncharacteristic,Uncertain,Somewhat characteristic,Extremely characteristic
